 ,Area,Mean,Min,Max,,,,,,,,,Verde,Nucleo,Citoplasma,Nucleo,,,,Verde,
1,9.641,1118.08,578,1653,1,N,,,,,,,1,1118.08,551.538,1874.667,,,Celulas,N/C,N/n
2,9.641,121,6,238,,N,,,,,,,2,1287.724,973.316,2289.738,,,1,,
3,9.641,551.538,276,917,,C,,,,,,,3,,,,,,2,,
4,9.641,40.764,0,138,,C,,,,,,,4,,,,,,3,,
5,9.641,1874.667,578,3388,,n,,,,,,,5,,,,,,4,,
6,9.641,272.529,57,706,,n,,MEAN,,,,,6,,,,,,5,,
,,,,,,7,9.641,1287.724,578,1843,2,,7,,,,,,6,,
,,,,,,8,9.641,162.738,89,259,,,8,,,,,,7,,
,,,,,,9,9.641,973.316,578,1463,,,9,,,,,,8,,
,,,,,,10,9.641,130.698,16,263,,,,,,,,,9,,
,,,,,,11,9.641,2289.738,578,3757,,,Rojo,Nucleo,Citoplasma,Nucleo,,,,,
,,,,,,12,9.641,388.071,63,773,,,1,121,40.764,272.529,,,,,
13,9.641,1108.902,578,1566,3,,,,,,,,2,162.738,130.698,388.071,,,,,
14,9.641,117.591,47,203,,,,,,,,,3,,,,,,,,
15,9.641,896.44,496,1694,,,,,,,,,4,,,,,,,,
16,9.641,117.076,11,314,,,,,,,,,5,,,,,,,,
17,9.641,2002.876,578,3059,,,,,,,,,6,,,,,,,,
18,9.641,313.791,102,531,,,,,,,,,7,,,,,,,,
,,,,,,19,9.641,792.547,578,1243,4,,8,,,,,,,,
,,,,,,20,9.641,58.249,3,138,,,9,,,,,,,,
,,,,,,21,9.641,604.96,291,1068,,,,,,,,,,,
,,,,,,22,9.641,51.916,0,138,,,,,,,,,,,
,,,,,,23,9.641,1583.093,578,2427,,,,,,,,,,,
,,,,,,24,9.641,221.978,21,493,,,,,,,,,,,
25,9.641,668.462,443,988,5,,,,,,,,,,,,,,,,
26,9.641,50.876,0,138,,,,,,,,,,,,,,,,,
27,9.641,568.827,344,838,,,,,,,,,,,,,,,,,
28,9.641,49.964,2,138,,,,,,,,,,,,,,,,,
29,9.641,1969.867,578,3116,,,,,,,,,,,,,,,,,
30,9.641,335.098,65,687,,,,,,,,,,,,,,,,,
,,,,,,31,9.641,746.871,443,1035,6,,,,,,,,,,
,,,,,,32,9.641,60.236,5,138,,,,,,,,,,,
,,,,,,33,9.641,762.289,534,1074,,,,,,,,,,,
,,,,,,34,9.641,88.027,17,199,,,,,,,,,,,
,,,,,,35,9.641,1538.56,492,2493,,,,,,,,,,,
,,,,,,36,9.641,236.32,3,401,,,,,,,,,,,
37,9.641,1324.836,578,1971,7,,,,,,,,,,,,,,,,
38,9.641,177.52,75,297,,,,,,,,,,,,,,,,,
39,9.641,696.076,385,1110,,,,,,,,,,,,,,,,,
40,9.641,78.298,7,159,,,,,,,,,,,,,,,,,
41,9.641,1883.098,578,3425,,,,,,,,,,,,,,,,,
42,9.641,309.373,82,680,,,,,,,,,,,,,,,,,
,,,,,,43,9.641,858.173,578,1216,8,,,,,,,,,,
,,,,,,44,9.641,77.907,7,138,,,,,,,,,,,
,,,,,,45,9.641,613.493,231,1176,,,,,,,,,,,
,,,,,,46,9.641,55.791,0,153,,,,,,,,,,,
,,,,,,47,9.641,2119.56,578,3341,,,,,,,,,,,
,,,,,,48,9.641,358.551,74,709,,,,,,,,,,,
49,9.641,812.729,578,1041,9,,,,,,,,,,,,,,,,
50,9.641,68.022,8,138,,,,,,,,,,,,,,,,,
51,9.641,512.969,194,1012,,,,,,,,,,,,,,,,,
52,9.641,42.622,0,173,,,,,,,,,,,,,,,,,
53,9.641,1897.733,578,3112,,,,,,,,,,,,,,,,,
54,9.641,311.236,31,632,,,,,,,,,,,,,,,,,
