 ,Area,Mean,Min,Max,,
1,9.641,1199.044,578,1743,1,N
2,9.641,167.124,78,280,,N
3,9.641,805.284,460,1331,,C
4,9.641,100.516,10,222,,C
5,9.641,2184.578,578,4095,,n
6,9.641,401.96,36,1035,,n
7,9.641,929.84,578,1447,2,
8,9.641,92.209,8,211,,
9,9.641,489.116,181,807,,
10,9.641,35.587,0,146,,
11,9.641,1507.778,578,2976,,
12,9.641,218.209,39,505,,
13,9.641,864.369,578,1294,3,
14,9.641,86.658,14,154,,
15,9.641,604.013,254,1063,,
16,9.641,63.733,0,155,,
17,9.641,1879.102,578,3588,,
18,9.641,328.124,42,718,,
19,9.641,762.373,551,1107,4,
20,9.641,66.409,0,146,,
21,9.641,429.911,179,674,,
22,9.641,28.449,0,146,,
23,9.641,1506.871,578,2548,,
24,9.641,230.218,5,484,,
25,9.641,827.089,578,1102,5,
26,9.641,80.08,13,149,,
27,9.641,725.596,475,1181,,
28,9.641,81.156,6,164,,
29,9.641,1382.724,578,3209,,
30,9.641,211.209,28,646,,
31,9.641,771.529,504,1069,6,
32,9.641,74.604,5,146,,
33,9.641,542.289,362,775,,
34,9.641,46.391,0,146,,
35,9.641,1361.636,578,2766,,
36,9.641,208.653,24,516,,
