 ,Area,Mean,Min,Max
1,9.641,861.569,486,1306
2,9.641,78.658,12,188
3,9.641,325.582,138,670
4,9.641,17.178,0,102
5,9.641,2073.396,486,3443
6,9.641,354.311,65,723
7,9.641,649.271,447,892
8,9.641,49.933,4,134
9,9.641,761.293,486,1077
10,9.641,93.124,13,201
11,9.641,1394.658,486,2344
12,9.641,226.600,10,409
13,9.641,707.671,486,1090
14,9.641,58.933,2,136
15,9.641,463.760,183,744
16,9.641,35.964,0,102
17,9.641,1416.351,486,2462
18,9.641,211.942,25,470
19,9.641,735.813,478,1034
20,9.641,64.644,3,135
21,9.641,681.053,336,1056
22,9.641,75.231,0,162
23,9.641,1238.333,486,2194
24,9.641,186.942,38,468
25,9.641,725.987,486,989
26,9.641,52.524,0,105
27,9.641,642.200,444,899
28,9.641,60.587,1,138
29,9.641,1215.013,486,2017
30,9.641,162.160,5,360
31,9.641,928.796,486,1244
32,9.641,90.822,22,161
33,9.641,497.973,288,745
34,9.641,37.062,0,102
35,9.641,1189.191,486,2022
36,9.641,151.907,30,376
37,9.641,616.871,425,852
38,9.641,37.196,0,102
39,9.641,540.551,273,773
40,9.641,43.311,0,102
41,9.641,803.591,365,1548
42,9.641,78.444,0,227
43,9.641,831.613,486,1093
44,9.641,80.604,12,144
45,9.641,563.524,340,881
46,9.641,50.876,0,125
47,9.641,1215.462,486,2299
48,9.641,176.591,32,393
49,9.641,615.871,455,810
50,9.641,42.684,0,102
51,9.641,594.982,86,935
52,9.641,62.036,0,143
53,9.641,1253.231,486,2351
54,9.641,186.009,8,457
55,9.641,967.369,486,1288
56,9.641,115.822,42,189
57,9.641,658.556,436,964
58,9.641,73.329,11,155
59,9.641,1676.804,486,3271
60,9.641,283.622,56,667
61,9.641,526.556,328,787
62,9.641,30.502,0,102
63,9.641,316.151,94,486
64,9.641,17.907,0,102
65,9.641,1049.844,430,1971
66,9.641,144.013,1,434
67,9.641,830.693,486,1252
68,9.641,76.782,15,151
69,9.641,231.382,45,486
70,9.641,13.933,0,102
71,9.641,1210.538,486,2079
72,9.641,160.364,37,325
