 ,Area,Mean,Min,Max
1,9.641,1129.547,525,2952
2,9.641,1375.547,813,3553
3,9.641,497.844,29,2952
4,9.641,1500.836,812,3553
5,9.641,1082.769,537,2952
6,9.641,2415.169,1034,3553
7,9.641,1881.093,1161,2952
8,9.641,1513.831,965,3553
9,9.641,534.876,59,2952
10,9.641,1302.307,497,3553
11,9.641,1938.222,1251,2952
12,9.641,1907.676,1041,3553
13,9.641,1626.893,873,2952
14,9.641,1612.138,1044,3553
15,9.641,553.938,39,2952
16,9.641,1901.382,1129,3553
17,9.641,2109.209,1274,2952
18,9.641,2482.578,1459,3553
19,9.641,1109.738,472,2952
20,9.641,1135.551,598,3553
21,9.641,527.164,56,2952
22,9.641,1202.818,475,3553
23,9.641,1059.582,408,2952
24,9.641,2075.262,708,3553
25,9.641,1759.240,417,2952
26,9.641,1685.818,1034,3553
27,9.641,533.702,6,2952
28,9.641,1099.507,414,3553
29,9.641,1980.404,1401,2952
30,9.641,2149.396,1465,3553
31,9.641,1125.027,591,2952
32,9.641,1032.053,520,3553
33,9.641,495.667,19,2952
34,9.641,1363.396,668,3553
35,9.641,1079.996,480,2952
36,9.641,1747.307,681,3553
37,9.641,1514.507,917,2952
38,9.641,1221.827,694,3553
39,9.641,556.404,49,2952
40,9.641,1143.351,538,3553
41,9.641,1566.271,1006,2952
42,9.641,1623.236,743,3553
43,9.641,1063.067,543,2952
44,9.641,1191.391,602,3553
45,9.641,521.716,18,2952
46,9.641,1206.587,544,3553
47,9.641,947.787,386,2952
48,9.641,1686.733,626,3553
49,9.641,1635.284,1072,2952
50,9.641,1578.538,1098,3553
51,9.641,596.556,78,2952
52,9.641,1624.422,951,3553
53,9.641,1558.311,941,2952
54,9.641,2599.076,1301,3553
55,9.641,1597.769,954,2952
56,9.641,1419.507,774,3553
57,9.641,537.293,55,2952
58,9.641,1387.680,797,3553
59,9.641,1620.618,975,2952
60,9.641,2125.662,1230,3553
61,9.641,1072.818,495,2952
62,9.641,1388.396,816,3553
63,9.641,579.498,78,2952
64,9.641,1406.591,649,3553
65,9.641,1100.267,514,2952
66,9.641,2008.289,875,3553
67,9.641,1006.093,488,2952
68,9.641,977.111,400,3553
69,9.641,433.662,0,2952
70,9.641,1124.356,378,3553
71,9.641,892.671,273,2952
72,9.641,1863.773,651,3553
