 ,Area,Mean,Min,Max,
1,9.641,859.2,578,1240,1
2,9.641,247.849,147,358,
3,9.641,177.436,30,578,
4,9.641,352.227,199,563,
5,9.641,1134.662,578,1616,
6,9.641,612.813,268,1064,
7,9.641,1288.378,578,1785,2
8,9.641,442.773,268,597,
9,9.641,287.009,105,578,
10,9.641,558.751,268,863,
11,9.641,1395.12,578,2011,
12,9.641,732.716,268,1298,
13,9.641,1325.733,578,1861,3
14,9.641,358.058,268,482,
15,9.641,258.262,100,578,
16,9.641,367.551,135,620,
17,9.641,1490.276,578,2056,
18,9.641,686.093,268,1258,
19,9.641,1797.493,578,2404,4
20,9.641,483.511,268,660,
21,9.641,231.116,46,578,
22,9.641,472.902,268,742,
23,9.641,1881.756,578,2666,
24,9.641,894.733,268,1322,
25,9.641,1355.324,578,1983,5
26,9.641,407.009,268,556,
27,9.641,267.351,66,578,
28,9.641,421.44,216,667,
29,9.641,1487.382,578,2129,
30,9.641,742.462,268,1414,
31,9.641,1352.253,578,1981,6
32,9.641,397.458,268,547,
33,9.641,274.698,101,578,
34,9.641,629.4,268,900,
35,9.641,1586.862,578,2319,
36,9.641,766.231,268,1489,
37,9.641,1276.018,578,1840,7
38,9.641,389.342,268,594,
39,9.641,287.111,128,578,
40,9.641,375.142,219,651,
41,9.641,1755.196,578,2453,
42,9.641,836.827,268,1466,
43,9.641,2089.524,578,2870,8
44,9.641,586.876,268,814,
45,9.641,349.12,168,578,
46,9.641,616.502,268,923,
47,9.641,2129.498,578,2978,
48,9.641,927.782,268,1521,
49,9.641,1268.027,578,1869,9
50,9.641,392.636,268,610,
51,9.641,265.938,90,578,
52,9.641,552.316,268,850,
53,9.641,1523.956,578,2370,
54,9.641,954.742,268,1689,
55,9.641,2135.996,578,3000,10
56,9.641,601.498,268,797,
57,9.641,331.947,118,578,
58,9.641,659.16,268,975,
59,9.641,2398.213,578,3336,
60,9.641,1126.573,268,1645,
61,9.641,1166.031,578,1692,11
62,9.641,389.942,244,552,
63,9.641,265.244,89,578,
64,9.641,492.631,268,705,
65,9.641,1439.911,578,2288,
66,9.641,720.818,268,1354,
67,9.641,1387.72,578,1898,12
68,9.641,395.156,268,560,
69,9.641,252.764,115,578,
70,9.641,430.004,109,698,
71,9.641,1419.636,578,2006,
72,9.641,574.867,268,1195,
73,9.641,1001.338,578,1318,13
74,9.641,361.293,268,488,
75,9.641,250.853,88,578,
76,9.641,418.48,224,640,
77,9.641,1080.218,578,1424,
78,9.641,652.076,268,1159,
79,9.641,999.533,578,1363,14
80,9.641,280.049,152,440,
81,9.641,181.2,31,578,
82,9.641,326.516,187,530,
83,9.641,1130.702,578,1574,
84,9.641,470.08,229,922,
85,9.641,1240.609,578,1711,15
86,9.641,377.751,255,545,
87,9.641,234.382,60,578,
88,9.641,375.222,205,577,
89,9.641,1382.947,578,2032,
90,9.641,919.916,268,1542,
91,9.641,1250.564,578,1795,16
92,9.641,412.378,268,589,
93,9.641,256.862,118,578,
94,9.641,364.187,156,673,
95,9.641,1271.996,578,1863,
96,9.641,542.378,268,1360,
97,9.641,1026.991,578,1684,17
98,9.641,368.28,230,567,
99,9.641,231.64,90,578,
100,9.641,552.093,268,848,
101,9.641,1304.956,578,1832,
102,9.641,982.476,268,1675,
103,9.641,1666.489,578,2462,18
104,9.641,501.747,268,687,
105,9.641,250.667,96,578,
106,9.641,523.124,268,776,
107,9.641,1522.538,578,2308,
108,9.641,696.307,268,1625,
109,9.641,1072.422,578,1570,19
110,9.641,404.849,268,692,
111,9.641,192.907,57,578,
112,9.641,419.271,268,626,
113,9.641,1244.351,578,1827,
114,9.641,843.973,268,1504,
115,9.641,1553.067,578,2321,20
116,9.641,427.373,228,643,
117,9.641,171.098,13,588,
118,9.641,448.6,268,701,
119,9.641,1463.471,578,2048,
120,9.641,794.387,268,1160,
121,9.641,869.116,578,1158,21
122,9.641,307.431,206,427,
123,9.641,224.578,87,578,
124,9.641,422.009,268,645,
125,9.641,1051.009,578,1520,
126,9.641,628.76,268,1323,
